recno,TrigNo,4B,Uflag,JD,Time,RAJ2000,DEJ2000,GLON,GLAT,PosErr,Angle
1305,3644," 4B 950620",*,2449888.5,2673.906,45.72,6.13,171.52,-44.0,1.49,154.28
1780,6154,"GRB 970403-", ,2497198.3,45.63,45.63,8.35,169.41,-42.39,2.92,99.29
1334,3750," 4B 950809",*,2449938.5,85945.266,51.09,14.06,169.73,-34.56,0.63,143.69
237,1396," 4B 920214", ,2448666.5,62162.539,39.67,7.13,163.96,-47.02,4.36,99.43
2093,6651,"GRB 980321", ,2461972.2,42.25,42.25,7.59,166.5,-45.11,4.0,93.81
2280,7289,"GRB 981230", ,2520996.5,43.7,43.7,9.31,166.58,-42.87,18.35,107.06
1093,3134," 4B 940823B", ,2449587.5,11816.37,41.66,9.15,164.52,-44.22,2.54,76.92
564,2187," 4B 930212", ,2449030.5,41396.866,38.35,8.89,160.93,-46.32,3.7,102.99
806,2608," 4B 931030C", ,2449290.5,26723.994,34.14,9.27,155.4,-48.16,6.53,118.05
1260,3491," 4B 950403B",*,2449810.5,47987.377,36.39,10.71,157.18,-45.81,0.43,179.02
1614,5557," 4B 960731",*,2450295.5,20761.738,43.93,12.51,164.2,-40.2,0.89,103.0
1435,3941," 4B 951211B", ,2450062.5,49099.442,58.66,13.73,176.19,-29.63,6.72,85.12
726,2463," 4B 930725", ,2449193.5,63921.434,59.24,14.29,176.15,-28.84,18.13,173.97
797,2592," 4B 931019B", ,2449279.5,35127.962,58.22,16.44,173.6,-28.08,8.58,90.31
949,2901," 4B 940331", ,2449442.5,75575.962,65.13,17.64,177.53,-22.38,4.3,160.43
382,1693," 4B 920710", ,2448813.5,80005.25,53.85,17.34,169.45,-30.36,3.51,139.88
976,2951," 4B 940427", ,2449469.5,16573.85,56.29,24.11,166.23,-23.81,2.28,103.86
112,741," 4B 910829", ,2448497.5,81582.699,59.03,22.96,169.09,-22.93,8.49,120.14
2669,8064,"GRB 000403", ,2488782.6,57.2,57.2,24.69,166.48,-22.82,3.54,116.32
1419,3917," 4B 951123", ,2450044.5,65405.618,53.75,24.5,164.04,-25.03,2.18,97.06
2157,6815,"GRB 980610", ,2481351.6,53.01,53.01,25.83,162.53,-24.43,6.38,93.56
917,2849," 4B 940226C", ,2449409.5,16786.074,32.75,13.18,151.03,-45.31,8.26,124.14
236,1390," 4B 920212", ,2448664.5,15226.475,38.19,14.1,156.88,-42.0,5.75,90.43
1209,3358," 4B 950115", ,2449732.5,24791.474,38.94,14.62,157.34,-41.17,1.1,151.8
607,2283," 4B 930404", ,2449081.5,19544.13,30.51,16.1,146.61,-43.51,9.52,85.46
1800,6190,"GRB 970417-", ,2496825.0,41.52,41.52,17.12,158.36,-37.75,3.22,134.39
2351,7464,"GRB 990311", ,2519906.0,43.95,43.95,19.25,159.3,-34.69,0.37,159.04
1038,3059," 4B 940704B", ,2449537.5,12486.641,27.7,15.11,143.54,-45.37,9.62,80.25
619,2304," 4B 930415", ,2449092.5,33588.866,29.03,17.53,144.1,-42.67,2.93,154.03
2451,7625,"GRB 990701-", ,2452943.6,34.53,34.53,21.69,148.33,-36.87,3.97,77.33
1225,3407," 4B 950207", ,2449755.5,26625.969,37.48,26.14,149.01,-31.7,2.65,88.48
1863,6288,"GRB 970629", ,2491400.4,29.62,29.62,25.04,141.63,-35.39,1.74,85.04
1811,6214,"GRB 970429-", ,2481784.8,34.72,34.72,26.98,145.96,-31.95,0.98,105.5
785,2570," 4B 931008B", ,2449268.5,26294.554,42.98,21.37,156.97,-33.42,0.85,136.45
2336,7434,"GRB 990228-", ,2493183.7,44.44,44.44,22.33,157.71,-31.88,3.53,112.64
1284,3567," 4B 950509", ,2449846.5,83765.938,44.44,22.93,157.33,-31.37,3.21,123.67
1249,3472," 4B 950317", ,2449793.5,71035.569,47.29,27.53,156.87,-26.11,1.22,75.22
1023,3037," 4B 940621C", ,2449524.5,43875.738,52.3,26.79,161.33,-24.08,13.97,107.41
488,2060," 4B 921117", ,2448943.5,12257.538,48.77,29.13,157.06,-24.06,3.15,150.91
2420,7578,"GRB 990522", ,2455225.7,39.38,39.38,27.07,150.3,-30.1,0.67,94.4
1398,3893," 4B 951104",*,2450025.5,5862.834,40.39,27.26,151.11,-29.52,0.42,139.32
242,1419," 4B 920218", ,2448670.5,67342.955,39.47,27.47,150.16,-29.71,0.48,77.96
60,480," 4B 910703", ,2448440.5,18223.787,40.37,29.48,149.9,-27.56,2.05,154.66
682,2391," 4B 930612D", ,2449150.5,60320.386,37.1,30.74,146.42,-27.68,6.36,82.11
399,1717," 4B 920721", ,2448824.5,65868.418,37.55,33.49,145.54,-25.01,0.73,124.72
2657,8047,"GRB 000321", ,2518787.9,49.24,49.24,36.39,153.04,-17.84,4.09,140.47
2191,6938,"GRB 980722", ,2502247.1,43.05,43.05,35.25,149.11,-21.41,2.42,120.25
2518,7764,"GRB 990914", ,2493534.6,43.51,43.51,37.69,148.21,-19.09,6.35,79.12
2292,7318,"GRB 990111-", ,2483041.5,43.85,43.85,38.27,148.16,-18.45,0.87,100.36
46,398," 4B 910620", ,2448427.5,20250.411,67.92,22.5,175.4,-17.25,1.75,132.55
2180,6911,"GRB 980707-", ,2499079.9,72.37,72.37,24.65,176.34,-12.72,3.73,145.47
822,2636," 4B 931115", ,2449306.5,59607.194,64.29,25.32,170.88,-17.85,2.74,88.47
1493,5411," 4B 960405B", ,2450178.5,59500.234,69.68,26.79,173.07,-13.25,2.59,129.51
485,2053," 4B 921112", ,2448938.5,59294.466,77.98,30.21,174.89,-5.4,2.01,82.82
844,2690," 4B 931211", ,2449332.5,58139.738,72.12,30.57,171.5,-9.19,6.38,134.07
