TrigNo,F1,F2,F3,F4,F64ms,F256ms,F1024ms,FT,H32,H321,T50,T90,,,,
105,8.69E-07,1.32E-06,2.05E-06,1.03E-06,12.761,11.857,9.937,5.27E-06,1.55E+00,9.35E-01,1.792,5.184,,,,
107,5.50E-08,5.69E-08,5.92E-08,7.69E-08,0.408,0.299,0.2,2.48E-07,1.04E+00,5.29E-01,68.608,208.576,,,,
108,8.29E-09,1.49E-08,3.20E-08,1.46E-06,0.812,0.439,0.112,1.52E-06,2.14E+00,1.38E+00,1.28,3.136,,,,
109,4.43E-06,7.31E-06,1.77E-05,2.95E-05,3.777,3.62,3.35,5.89E-05,2.42E+00,1.50E+00,47.104,90.176,,,,
110,4.50E-07,4.67E-07,1.78E-06,4.01E-07,0.475,0.478,0.367,3.09E-06,3.80E+00,1.94E+00,306.368,430.016,,,,
111,1.11E-06,1.89E-06,2.02E-06,,0.774,0.649,0.589,5.02E-06,1.07E+00,6.75E-01,41.728,98.176,,,,
114,6.59E-07,7.02E-07,7.21E-07,,0.74,0.722,0.516,2.08E-06,1.03E+00,5.30E-01,29.632,381.248,,,,
121,2.50E-06,2.64E-06,4.78E-06,7.27E-06,1.793,1.496,1.128,1.72E-05,1.81E+00,9.31E-01,48.64,75.008,,,,
130,3.19E-06,4.89E-06,1.35E-05,1.72E-05,3.926,3.468,2.816,3.87E-05,2.76E+00,1.67E+00,33.792,61.952,,,,
133,7.43E-07,7.47E-07,2.42E-06,1.83E-06,0.808,0.659,0.607,5.75E-06,3.24E+00,1.63E+00,95.232,182.016,,,,
138,6.71E-09,1.78E-08,5.89E-08,5.28E-08,1.107,0.722,0.364,1.36E-07,3.31E+00,2.40E+00,0.218,0.315,,,,
143,5.72E-06,7.59E-06,4.56E-05,2.33E-04,52.008,47.569,37.634,2.92E-04,6.01E+00,3.43E+00,6.72,50.816,,,,
148,6.31E-07,6.43E-07,8.17E-07,7.08E-09,1.442,1.404,1.267,2.10E-06,1.27E+00,6.42E-01,419.008,454.016,,,,
160,5.17E-07,8.39E-07,3.06E-06,4.40E-07,4.21,3,2.584,4.86E-06,3.65E+00,2.26E+00,8.384,17.024,,,,
171,4.34E-07,4.47E-07,7.84E-07,1.80E-07,1.077,0.646,0.602,1.84E-06,1.75E+00,8.91E-01,12.864,24.768,,,,
179,2.56E-07,2.78E-07,5.04E-07,7.57E-08,5.249,4.736,2.5,1.11E-06,1.82E+00,9.44E-01,3.2,7.232,,,,
185,8.57E-09,8.51E-09,3.39E-08,,1.583,0.729,0.165,5.10E-08,3.98E+00,1.98E+00,0.056,0.132,,,,
204,1.47E-08,5.52E-08,5.37E-07,1.49E-06,0.708,0.674,0.513,2.10E-06,9.73E+00,7.68E+00,20.288,62.656,,,,
207,4.09E-09,8.45E-09,5.81E-08,3.34E-07,2.836,1.025,0.198,4.04E-07,6.88E+00,4.64E+00,0.042,0.085,,,,
211,3.66E-07,3.97E-07,7.55E-07,,0.7,0.507,0.466,1.52E-06,1.90E+00,9.89E-01,203.84,292.736,,,,
214,4.06E-07,4.40E-07,4.14E-07,,0.982,0.752,0.649,1.26E-06,9.40E-01,4.89E-01,18.816,45.696,,,,
218,1.12E-08,3.51E-08,1.23E-07,3.49E-07,0.978,0.868,0.665,5.18E-07,3.49E+00,2.65E+00,0.597,1.173,,,,
219,3.03E-06,4.22E-06,1.05E-05,1.48E-05,20.133,18.063,13.069,3.26E-05,2.50E+00,1.45E+00,6.272,29.696,,,,
222,7.81E-07,1.04E-06,2.76E-06,2.54E-06,4.538,3.99,3.005,7.13E-06,2.66E+00,1.52E+00,57.024,73.088,,,,
223,5.17E-08,6.49E-08,1.68E-07,,0.633,0.457,0.374,2.84E-07,2.58E+00,1.44E+00,22.784,29.184,,,,
226,2.17E-06,3.21E-06,9.43E-06,2.46E-05,1.307,1.298,1.09,3.94E-05,2.94E+00,1.76E+00,61.44,221.184,,,,
228,1.33E-07,1.24E-07,1.77E-07,4.72E-08,1.332,1.054,0.817,4.81E-07,1.42E+00,6.87E-01,5.504,12.352,,,,
229,4.43E-09,1.12E-08,5.42E-08,6.62E-08,1.085,0.674,0.288,1.36E-07,4.84E+00,3.47E+00,0.256,0.448,,,,
235,1.51E-07,2.16E-07,9.76E-07,1.62E-06,0.719,0.552,0.405,2.96E-06,4.51E+00,2.66E+00,10.304,26.432,,,,
237,6.74E-08,8.29E-08,3.81E-07,3.82E-07,0.967,0.825,0.639,9.13E-07,4.60E+00,2.54E+00,30.208,40.512,,,,
249,6.44E-06,1.21E-05,4.21E-05,8.96E-05,35.696,34.621,31.66,1.50E-04,3.47E+00,2.27E+00,6.656,28.544,,,,
254,1.19E-08,1.57E-08,1.57E-07,1.10E-06,1.545,1.319,0.483,1.28E-06,9.98E+00,5.69E+00,0.192,0.384,,,,
257,8.00E-07,1.29E-06,4.19E-06,3.05E-05,1.866,1.711,1.493,3.67E-05,3.24E+00,2.00E+00,28.48,80.832,,,,
288,3.09E-07,3.17E-07,5.48E-07,4.27E-06,0.659,0.519,0.397,5.44E-06,1.73E+00,8.75E-01,21.44,41.152,,,,
289,5.27E-10,3.64E-09,2.99E-08,6.28E-08,1.607,0.51,0.163,9.69E-08,8.22E+00,7.18E+00,0.03,0.067,,,,
297,1.49E-08,3.32E-08,1.55E-07,8.68E-07,2.979,2.19,0.8,1.07E-06,4.68E+00,3.23E+00,0.32,0.96,,,,
298,1.37E-07,2.45E-07,1.19E-06,4.71E-06,56.127,22.047,6.175,6.29E-06,4.86E+00,3.12E+00,0.111,0.455,,,,
332,5.11E-07,8.88E-07,1.91E-06,7.10E-07,1.238,1.188,1.127,4.02E-06,2.15E+00,1.37E+00,13.76,50.624,,,,
351,3.62E-06,3.80E-06,9.14E-06,1.84E-05,1.45,1.226,1.22,3.50E-05,2.41E+00,1.23E+00,52.352,146.944,,,,
373,3.28E-09,1.09E-08,2.01E-07,6.11E-08,1.089,0.644,0.523,2.76E-07,1.83E+01,1.41E+01,0.768,1.536,,,,
394,5.97E-06,6.88E-06,2.43E-05,3.48E-05,5.105,4.777,4.056,7.20E-05,3.54E+00,1.89E+00,36.992,106.112,,,,
398,6.29E-07,9.11E-07,2.38E-06,2.03E-06,2.031,1.714,1.536,5.95E-06,2.61E+00,1.55E+00,10.368,25.6,,,,
401,2.26E-08,4.24E-08,1.01E-07,3.37E-08,0.418,0.333,0.24,2.00E-07,2.39E+00,1.56E+00,2.88,5.056,,,,
404,7.20E-07,1.00E-06,1.89E-06,1.61E-06,1.218,1.006,0.827,5.22E-06,1.89E+00,1.10E+00,29.568,123.392,,,,
408,9.73E-07,1.83E-06,3.01E-06,6.27E-07,1.575,1.435,1.208,6.44E-06,1.65E+00,1.08E+00,35.456,85.44,,,,
414,1.53E-07,1.17E-07,2.59E-07,6.63E-08,1.051,1.013,0.641,5.96E-07,2.21E+00,9.58E-01,5.312,15.552,,,,
432,5.04E-09,9.69E-09,7.23E-08,6.22E-07,4.976,1.336,0.374,7.09E-07,7.46E+00,4.91E+00,0.014,0.034,,,,
444,1.89E-07,2.59E-07,5.82E-07,4.73E-07,28.559,16.597,4.368,1.50E-06,2.25E+00,1.30E+00,0.128,0.256,,,,
451,3.09E-06,4.21E-06,7.02E-06,6.94E-06,17.457,16.923,15.386,2.13E-05,1.67E+00,9.61E-01,3.072,15.168,,,,
465,8.72E-08,6.16E-08,2.36E-07,,0.315,0.309,0.244,3.84E-07,3.82E+00,1.58E+00,4.864,13.824,,,,
467,2.60E-07,4.78E-07,2.08E-06,3.92E-06,8.998,7.729,4.376,6.74E-06,4.36E+00,2.83E+00,8.832,37.696,,,,
469,4.37E-07,6.30E-07,2.67E-06,6.95E-06,4.424,4.222,3.82,1.07E-05,4.25E+00,2.51E+00,3.968,15.424,,,,
472,9.15E-07,1.09E-06,1.98E-06,,1.395,0.852,0.681,3.99E-06,1.81E+00,9.87E-01,37.696,82.176,,,,
473,2.77E-07,3.34E-07,4.40E-07,2.28E-08,0.608,0.554,0.443,1.07E-06,1.32E+00,7.19E-01,12.096,31.104,,,,
474,1.28E-08,3.32E-08,3.89E-07,4.84E-06,10.641,5.782,1.552,5.27E-06,1.17E+01,8.46E+00,0.072,0.152,,,,
480,1.18E-08,1.60E-08,1.15E-07,1.01E-06,6.625,1.945,0.514,1.15E-06,7.14E+00,4.11E+00,0.019,0.067,,,,
486,9.64E-09,1.39E-08,6.53E-08,,1.554,1.088,0.372,8.89E-08,4.70E+00,2.78E+00,0.128,0.32,,,,
491,1.25E-09,3.32E-09,2.69E-08,1.15E-06,0.612,0.386,0.114,1.18E-06,8.11E+00,5.89E+00,0.039,0.1,,,,
493,1.70E-07,1.82E-07,3.25E-07,,1.283,1.096,0.952,6.77E-07,1.79E+00,9.22E-01,1.472,4.864,,,,
501,1.38E-07,1.50E-07,3.61E-07,,1.147,1.099,0.923,6.49E-07,2.40E+00,1.25E+00,4.992,33.728,,,,
503,6.59E-08,1.40E-07,6.40E-07,4.92E-06,5.209,5.055,3.048,5.77E-06,4.56E+00,3.10E+00,31.744,46.656,,,,
512,,1.02E-08,6.19E-08,3.55E-07,3.331,1.095,0.302,4.27E-07,6.07E+00,6.07E+00,0.036,0.183,,,,
516,3.54E-07,3.20E-07,3.02E-07,1.74E-07,0.935,0.775,0.696,1.15E-06,9.44E-01,4.48E-01,3.52,12.672,,,,
526,1.47E-07,5.73E-08,5.11E-08,3.51E-07,0.647,0.494,0.265,6.06E-07,8.92E-01,2.50E-01,2.496,6.592,,,,
537,4.59E-08,7.12E-08,5.52E-07,1.39E-06,1.827,1.455,1.282,2.06E-06,7.75E+00,4.72E+00,1.216,4.288,,,,
540,1.26E-07,1.05E-07,1.00E-07,,0.88,0.759,0.619,3.31E-07,9.57E-01,4.35E-01,17.92,32,,,,
543,6.08E-07,1.37E-06,3.02E-06,2.72E-06,11.158,10.556,9.145,7.73E-06,2.20E+00,1.53E+00,2.176,4.864,,,,
547,8.13E-09,3.21E-08,1.87E-07,3.24E-07,2.936,2.692,0.889,5.51E-07,5.82E+00,4.64E+00,0.256,0.512,,,,
548,7.90E-07,1.38E-06,3.25E-06,7.25E-07,2.202,1.996,1.825,6.14E-06,2.35E+00,1.50E+00,13.696,36.224,,,,
549,7.14E-08,1.13E-07,2.26E-07,9.41E-07,0.53,0.334,0.265,1.35E-06,2.00E+00,1.23E+00,9.792,14.4,,,,
551,1.64E-08,4.01E-08,2.19E-07,7.39E-07,5.573,3.669,1.073,1.01E-06,5.45E+00,3.87E+00,0.115,0.25,,,,
555,1.16E-08,1.19E-08,8.38E-08,5.24E-07,1.623,1.306,0.372,6.32E-07,7.06E+00,3.57E+00,1.92,4.16,,,,
559,7.60E-08,2.29E-07,4.48E-07,9.99E-06,0.475,0.404,0.227,1.07E-05,1.95E+00,1.47E+00,19.968,34.176,,,,
563,8.06E-07,1.24E-06,3.03E-06,1.58E-06,2.131,1.886,1.819,6.66E-06,2.46E+00,1.49E+00,8.64,22.528,,,,
568,6.34E-09,8.63E-09,9.53E-08,7.67E-07,2.647,1.43,0.375,8.77E-07,1.10E+01,6.37E+00,0.058,0.119,,,,
575,1.10E-08,4.39E-08,2.02E-07,1.67E-07,3.708,2.75,1.065,4.25E-07,4.61E+00,3.69E+00,0.27,0.413,,,,
577,4.56E-07,5.65E-07,1.23E-06,7.26E-07,0.931,0.793,0.692,2.98E-06,2.18E+00,1.21E+00,57.536,179.84,,,,
